Date,Type,Track,Car,Laps,Total Distance (mi),Fastest Lap,Max Speed,Quali Pos,Race Pos,Notes,
10/6/2023,Practice,MMC,1999 NB Miata,5,18.00,,,,,,
10/20/2023,Practice,NJMP Lightning,1999 NB Miata,20,38.00,1:21.546,,,,,
10/20/2023,Quali,NJMP Lightning,1999 NB Miata,17,32.30,1:20.478,,1,,,
10/20/2023,Race,NJMP Lightning,1999 NB Miata,104,197.60,1:20.328,,1,2,Breakdown in final laps. Lost one position ,
10/21/2023,Quali,NJMP Lightning,1999 NB Miata,10,19.00,1:22.996,,13,,So much Quali traffic… disaster,
10/21/2023,Race,NJMP Lightning,1999 NB Miata,10,19.00,1:20.215,,13,12,,
10/21/2023,Race,NJMP Lightning,1999 NB Miata,10,19.00,1:20.274,,13,16,Off track in lap 1 ruined my race,
3/29/2024,Practice,Summit Point,1999 NB Miata,62,124.00,1:29.8,,,,,
3/30/2024,Quali,Summit Point,1999 NB Miata,9,18.00,1:28.56,,13,,"SCCA Majors, SM Quali",
3/30/2024,Quali,Summit Point,1999 NB Miata,9,18.00,1:30.562,,5,,"SCCA Majors, STL Quali",
3/30/2024,Race,Summit Point,1999 NB Miata,14,28.00,1:28.974,,,14,"SCCA Majors, SM Race",
3/30/2024,Race,Summit Point,1999 NB Miata,15,30.00,1:29.583,,,5,"SCCA Majors, STL Race",
3/31/2024,Race,Summit Point,1999 NB Miata,21,42.00,1:29.428,,,18,"SCCA Majors, SM Race",
4/5/2024,Practice,VIR,1999 NB Miata,14,45.78,2:22.722,,,,"HST SM Practice Session, Car underpowered",
4/5/2024,Practice,VIR,1999 NB Miata,10,32.70,2:22.406,,,,"HST STL Practice Session, Car underpowered",
4/5/2024,Quali,VIR,1999 NB Miata,10,32.70,2:20.969,,26,,"HST SM, Car underpowered",
4/6/2024,Quali,VIR,1999 NB Miata,10,32.70,2:21.853,,32,,"HST STL, Car underpowered",
4/6/2024,Race,VIR,1999 NB Miata,10,32.70,2:20.664,,,22,"HST SM, Car underpowered",
4/6/2024,Race,VIR,1999 NB Miata,9,29.43,2:23.574,,,30,"HST STL, Car underpowered",
4/7/2024,Race,VIR,1999 NB Miata,14,45.78,2:20.251,,,23,"HST SM, Car underpowered",
4/7/2024,Race,VIR,1999 NB Miata,13,42.51,2:21.114,,,28,"HST STL, Car underpowered",
4/19/2024,Practice,MMC (South),1999 NB Miata,13,20.80,1:21.572,,3,3,"Had 3rd fastest lap, excluding Queally car",
4/19/2024,Race,MMC (South),1999 NB Miata,16,25.60,1:21.405,,15,11,Had an off in Hangar. Would have been P5 overall. Was P4 in class,
4/19/2024,Race,MMC (South),1999 NB Miata,14,22.40,1:21.085,,13,6,"Avoiding wreck in Montreal, was in grass and lost 20 seconds. Finsihde P4 in class",
4/19/2024,Race,MMC (South),1999 NB Miata,12,19.20,1:20.858,,8,4,P3 in class,
5/10/2024,Practice,MMC (South),1999 NB Miata,22,35.20,1:28.036,,4,,"P1 in class, Rain",
5/10/2024,Race,MMC (South),1999 NB Miata,18,28.80,1:27.459,,10,7,"P1 in class, rain",
5/10/2024,Race,MMC (South),1999 NB Miata,19,30.40,1:26.580,,9,6,"P1 in class, rain",
5/10/2024,Race,MMC (South),1999 NB Miata,3,4.80,1:31.804,,9,DNF,"Crash in lap 3, rain(ing tires)",
5/17/2024,Practice,MidOhio,1999 NB Miata,12,27.10,2:14.267,,,,"HST STL, Heavy Rain",
5/17/2024,Practice,MidOhio,1999 NB Miata,15,33.87,2:11.461,,,,"HST SM, Heavy Rain",
5/17/2024,Quali,MidOhio,1999 NB Miata,8,18.06,2:00.097,,16,,"HST STL, Rain. Pos counting only STL",
5/17/2024,Quali,MidOhio,1999 NB Miata,10,22.58,2:03.560,,33,,"HST SM, Rain.",
5/18/2024,Race,MidOhio,1999 NB Miata,14,31.61,1:46.516,,16,11,HST STL,
5/18/2024,Race,MidOhio,1999 NB Miata,13,29.35,1:45.910,,31,25,HST SM,
5/19/2024,Race,MidOhio,1999 NB Miata,19,42.90,1:46.072,,15,8,HST STL,
5/19/2024,Race,MidOhio,1999 NB Miata,20,45.16,1:44.545,,30,25,HST SM,
6/1/2024,Practice,MMC,2010 Caymen Race,5,18.00,2:53.102,,,,MMC Rental Porsche PDK. On treaded tires (no slicks! terrible!),
6/1/2024,Quali,MMC,2010 Caymen Race,5,18.00,2:50.233,,31,,MMC Rental Porsche PDK. On treaded tires. Car went into limp mode due to overheating and had to be retired,
6/1/2024,Race,MMC,2010 Caymen Race,8,28.80,2:47.841,,31,DNF,MMC Rental Porsche PDK. On treaded tires. (second) Car went into limp mode due to overheating and had to be retired,
6/1/2024,Race,MMC,1999 NB Miata,5,18.00,2:51.626,,31,DNF,MMC NB Miata rental with Honda K engine swap. Car clutch/transmission could not engage gear and had to be retired.,
6/14/2024,Quali,LimeRock,1999 NB Miata,13,19.89,1:04.908,,19,,"LRP Regional, STL",
6/14/2024,Quali,LimeRock,1999 NB Miata,15,22.95,1:04.322,,19,,"LRP Regional, SM",
6/14/2024,Race,LimeRock,1999 NB Miata,22,33.66,1:04.088,,19,16,"LRP Regional, STL",
6/15/2024,Race,LimeRock,1999 NB Miata,20,30.60,1:03.182,,14,9,"LRP Regional, STL",
6/15/2024,Race,LimeRock,1999 NB Miata,19,29.07,1:03.052,,16,14,"LRP Regional, SM",
6/15/2024,Race,LimeRock,1999 NB Miata,24,36.72,1:04.203,,9,11,"LRP Regional, STL",
6/15/2024,Race,LimeRock,1999 NB Miata,21,32.13,1:03.705,,16,13,"LRP Regional, SM",
6/28/2024,Practice,MMC (South),1999 NB Miata,13,20.80,1:21.879,,16,,Kept 1.6 Restrictor in,
6/28/2024,Race,MMC (South),1999 NB Miata,15,24.00,1:22.212,,16,13,Kept 1.6 Restrictor in,
6/28/2024,Race,MMC (South),1999 NB Miata,16,25.60,1:21.772,,16,12,Kept 1.6 Restrictor in,
6/28/2024,Race,MMC (South),1999 NB Miata,12,19.20,1:22.447,,16,16,Kept 1.6 Restrictor in,
6/28/2024,Practice,MMC,2016 ND Miata,10,36.00,2:46.7,,,,,
6/29/2024,Practice,MMC,1999 NB Miata,17,61.20,2:52.9,,,,Kept 1.6 Restrictor in,
7/20/2024,Practice,Watkins Glen,2018 911 GT3,26,89.70,2:13.55,,,,Likely have faster lap closer to 2:10 during instructor check out laps. Tons of traffic in blue/white run group.,
7/21/2024,Practice,Watkins Glen,2018 911 GT3,,,2:06.3,,,,Ran out of brake pad,
8/3/2024,Practice,MMC,1999 NB Miata,4,14.40,2:52.17,,,,Worn tires. Hot Temp,
8/3/2024,Quali,MMC,1999 NB Miata,7,25.20,2:51.89,,2,2,Worn tires. Hot Temp,
8/3/2024,Race,MMC,1999 NB Miata,12,43.20,2:50.27,,2,2,Worn tires. Hot Temp,
8/3/2024,Race,MMC,1999 NB Miata,12,43.20,2:49.89,,2,2,Worn tires. Hot Temp,
8/16/2024,Practice,Watkins Glen,1999 NB Miata,8,27.60,2:25.17,,,,,
8/16/2024,Practice,Watkins Glen,1999 NB Miata,9,31.05,2:21.73,,,,,
8/16/2024,Practice,Watkins Glen,1999 NB Miata,7,24.15,2:21.86,,,,,
8/16/2024,Practice,Watkins Glen,1999 NB Miata,9,31.05,2:18.45,,,,,
8/17/2024,Quali,Watkins Glen,1999 NB Miata,8,27.60,2:20.106,,5,,SM,
8/17/2024,Quali,Watkins Glen,1999 NB Miata,6,20.70,--,,10,,STL,
8/17/2024,Race,Watkins Glen,1999 NB Miata,10,34.50,2:33.371,,5,3,SM. Rain,
8/17/2024,Race,Watkins Glen,1999 NB Miata,10,34.50,2:19.986,,10,10,STL. Light Rain,
8/18/2024,Quali,Watkins Glen - Short,1999 NB Miata,12,29.40,1:33.775,,6,,SM. Light Rain,
8/18/2024,Quali,Watkins Glen - Short,1999 NB Miata,12,29.40,1:32.014,,10,,STL,
8/18/2024,Race,Watkins Glen - Short,1999 NB Miata,12,29.40,1:46.31,,6,8,SM. Rain,
8/18/2024,Race,Watkins Glen - Short,1999 NB Miata,11,26.95,1:36.728,,8,7,STL. Half track rain,
8/30/2024,Practice,MMC (South),1999 NB Miata,18,28.80,1:23.159,,,,Rain,
8/30/2024,Race,MMC (South),1999 NB Miata,17,27.20,1:29.37,,19,10,"Rain, traffic, safety cars",
8/30/2024,Race,MMC (South),1999 NB Miata,17,27.20,1:21.504,,,,"Wet, traffic",
8/30/2024,Practice,MMC (North),1999 NB Miata,11,20.90,1:33.697,,,,,
9/14/2024,Practice,MMC,1994 BMW 325iS,8,28.80,2:49,,,,Rubenstein Performance Try-out. First morning session of day with cold track and tries,
9/14/2024,Practice,MMC,2006 NC Miata,16,57.60,2:46.57,,,,Rubenstein Performance Try-out,
9/14/2024,Practice,MMC,1999 NB Miata,18,64.80,2:49.292,,,,Worn tires and oversteer fun!,
9/20/2024,Practice,MMC (South),1999 NB Miata,9,14.40,1:20.905,,,,Crash! Old tires and zero front brke pads,
9/20/2024,Race,MMC (South),1999 NB Miata,20,32.00,1:20.978,,,,,
9/20/2024,Race,MMC (South),1999 NB Miata,19,30.40,1:21.328,,,,,
9/20/2024,Race,MMC (South),1999 NB Miata,14,22.40,1:20.999,,,,,
9/20/2024,Practice,MMC,1999 NB Miata,11,39.60,2:50.037,,,,,
9/21/2024,Practice,MMC,1999 NB Miata,6,21.60,2:49.052,,,,,
9/21/2024,Quali,MMC,1999 NB Miata,8,28.80,2:49.485,,,,,
9/21/2024,Race,MMC,1999 NB Miata,12,43.20,2:48.807,,,1,,
9/21/2024,Race,MMC,1999 NB Miata,13,46.80,2:49.002,,,1,,
10/17/2024,Practice,Watkins Glen,2002 BMW 330Ci,38,131.10,2:18.78,,,,Approx Laps in Rental E46,
10/25/2024,Practice,LimeRock,1999 NB Miata,37,56.61,1:02.528,,,,Accidentally ran without restrictor. Oops.,
10/25/2024,Quali,LimeRock,1999 NB Miata,11,16.83,1:04.429,,26,,Tires fell off a cliff. No grip,
10/25/2024,Race,LimeRock,1999 NB Miata,17,26.01,1:03.287,,26,17,Started back of pack due to terrible Quali,
10/26/2024,Practice,LimeRock,1999 NB Miata,8,12.24,1:04.562,,,,,
10/26/2024,Race,LimeRock,1999 NB Miata,26,39.78,1:02.540,,16,12,,
10/26/2024,Race,LimeRock,1999 NB Miata,22,33.66,1:02.87,,14,11,,
10/26/2024,Practice,LimeRock,1999 NB Miata,11,16.83,1:03.717,,,,,
10/26/2024,Race,LimeRock,1999 NB Miata,57,87.21,1:02.938,,18,14,Enduro race,
10/15/2024,Practice,NJMP Thunderbolt,1994 BMW 325iS,,,,,,,,
10/15/2024,Race,NJMP Thunderbolt,1994 BMW 325iS,70,157.50,1:34.704,,,3,Team Enduro,
10/15/2024,Practice,NJMP Thunderbolt,1994 BMW 325iS,,,,,,,Night Practice!,
10/16/2024,Race,NJMP Thunderbolt,1994 BMW 325iS,,,,,,14,DNF. Clutch slippage. In P3/16 at time of DNF,
4/4/2025,Practice,VIR,1999 NB Miata,47,153.69,2:20.28,,,,"Old (from LRP 10/24), 10 session used Hoosiers.",
4/5/2025,Quali,VIR,1999 NB Miata,8,26.16,2:19.963,,35,,STL,
4/5/2025,Quali,VIR,1999 NB Miata,7,22.89,2:19.549,,26,,SM,
4/5/2025,Race,VIR,1999 NB Miata,11,35.97,2:21.051,,,26,STL,
4/5/2025,Race,VIR,1999 NB Miata,3,9.81,2:19.966,,26,DNF,SM. Crash in lap 3 in oak tree. Left rear tire hit outside dirt. Crazy T1 action. Was up to P20 when crash. ,
4/6/2025,Quali,VIR,1999 NB Miata,5,16.35,2:21.0,,26,,STL. Was just practice drafting with a partner (Bob Mueller). ,
4/6/2025,Quali,VIR,1999 NB Miata,6,19.62,2:19.229,,20,,SM. All lap times were slower. This quali effectively didn't count. ,
4/6/2025,Race,VIR,1999 NB Miata,13,42.51,2:20.867,,,26,STL,
4/6/2025,Race,VIR,1999 NB Miata,14,45.78,2:19.836,,28,18,SM,
4/19/2025,Quali,Summit Point,1999 NB Miata,12,24.00,1:29.244,,1,,STL - Only one in class,
4/19/2025,Quali,Summit Point,1999 NB Miata,12,24.00,1:28.359,,6,,SM,
4/19/2025,Quali,Summit Point,1999 NB Miata,12,24.00,1:28.523,,1,,STL - Only one in class,
4/19/2025,Quali,Summit Point,1999 NB Miata,12,24.00,1:28.765,,3,,"SM* Quali times were slower than Q1, so results did not carry over.",
4/19/2025,Race,Summit Point,1999 NB Miata,18,36.00,1:28.888,,,1,STL - Only one in class,
4/19/2025,Race,Summit Point,1999 NB Miata,18,36.00,1:29.185,,7,8,SM - Penalized 1 place position due to being out of line at start,
4/20/2025,Race,Summit Point,1999 NB Miata,28,56.00,1:28.778,,,1,STL - Only one in class,
4/20/2025,Race,Summit Point,1999 NB Miata,28,56.00,1:27.926,,7,7,SM,
4/25/2025,Practice,MMC (South),1999 NB Miata,11,17.60,1:20.617,,,,,
4/25/2025,Race,MMC (South),1999 NB Miata,19,30.40,1:20.927,,,,,
4/25/2025,Race,MMC (South),1999 NB Miata,19,30.40,1:21.237,,,,,
4/25/2025,Race,MMC (South),1999 NB Miata,14,22.40,1:21.209,,,,,
5/2/2025,Practice,PittRace,1999 NB Miata,9,25.02,2:10.155,,,,,
5/2/2025,Practice,PittRace,1999 NB Miata,9,25.02,2:09.822,,,,,
5/2/2025,Practice,PittRace,1999 NB Miata,9,25.02,2:09.62,,,,,
5/2/2025,Practice,PittRace,1999 NB Miata,12,33.36,2:08.702,,,,,
